##     Pa11y CI results     ##

Running Pa11y on 155 URLs:
 > https://athletics.kcc.edu/news/2023/09/16/kcc-volleyball-vs-highland-cc-9-16/ - 0 errors
 > https://athletics.kcc.edu/news/2023/09/12/kcc-volleyball-vs-moraine-valley-cc-9-12/ - 0 errors
 > https://athletics.kcc.edu/news/2023/09/09/kcc-soccer-vs-waubonsee-cc-9-9/ - 0 errors
 > https://athletics.kcc.edu/news/2023/09/09/kcc-soccer-vs-northeast-cc/ - 0 errors
 > https://athletics.kcc.edu/news/2023/08/29/kcc-soccer-vs-rvc-8-29/ - 0 errors
 > https://athletics.kcc.edu/news/2023/03/28/kcc-vs-olive-harvey/ - 0 errors
 > https://athletics.kcc.edu/news/2023/03/26/kcc-vs-oakton-3-26/ - 0 errors
 > https://athletics.kcc.edu/news/2023/03/24/kcc-vs-rvc-3-24/ - 0 errors
 > https://athletics.kcc.edu/news/2023/03/23/kcc-baseball-vs-prairie-state-3-23/ - 0 errors
 > https://athletics.kcc.edu/news/2023/03/15/kcc-baseball-vs-cod/ - 0 errors
 > https://athletics.kcc.edu/news/2023/03/01/region-4-quarterfinals-kcc-vs-kishwaukee/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/26/softball-vs-southeastern-ia/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/26/lady-cavs-vs-niacc/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/25/softball-vs-dmacc-2-25/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/25/lady-cavs-vs-highland-2-25/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/25/kcc-vs-highland-men-s-basketball/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/25/kcc-softball-vs-north-platte/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/21/lady-cavs-vs-olive-harvey/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/18/women-s-basketball-vs-b-s/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/18/kcc-mbb-vs-daley-college/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/15/kcc-mbb-vs-aurora-university-jv-2-12-23/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/15/kcc-wbb-vs-bhc-2-11-23/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/15/kcc-mens-basketball-victory-over-malcolm-x-college/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/13/mbb-game-highlights-2-7-23/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/13/kcc-wbb-game-highlights-2-9-23/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/09/kcc-wbb-vs-rvc-2-8-23-game/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/07/wbb-game-highlights-2-4-23/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/07/mbb-game-highlights-2-4-23/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/02/wbb-game-highlight-stats-1-28-23/ - 0 errors
 > https://athletics.kcc.edu/news/2023/02/01/kcc-cavaliers-rivalry-clash/ - 0 errors
 > https://athletics.kcc.edu/news/2022/04/17/matt-litrell-news-release/ - 0 errors
 > https://athletics.kcc.edu/news/2022/04/17/kcc-signing-day-player-profiles/ - 0 errors
 > https://athletics.kcc.edu/news/2022/04/17/jbb-award-given-to-owen-jackson/ - 0 errors
 > https://athletics.kcc.edu/news/2021/07/20/cavaliers-move-on/ - 0 errors
 > https://athletics.kcc.edu/news/2021/06/13/njcaa-academic-honors/ - 0 errors
 > https://athletics.kcc.edu/news/2021/04/12/wbb-all-region-team/ - 0 errors
 > https://athletics.kcc.edu/news/2021/02/02/live-streaming/ - 0 errors
 > https://athletics.kcc.edu/news/2021/01/30/our-very-own-vern-turner/ - 0 errors
 > https://athletics.kcc.edu/news/2020/07/16/sports-competition-will-resume-in-2021/ - 0 errors
 > https://athletics.kcc.edu/news/2020/06/10/kcc-athletes-earn-honors/ - 0 errors
 > https://athletics.kcc.edu/news/2020/05/06/2020-baseball-sophomores/ - 0 errors
 > https://athletics.kcc.edu/news/2020/04/15/first-womens-soccer-post/ - 0 errors
 > https://athletics.kcc.edu/news/2020/02/26/sophomore-jonte-coleman/ - 0 errors
 > https://athletics.kcc.edu/news/2020/01/07/region-iv-hall-of-fame/ - 0 errors
 > https://athletics.kcc.edu/news/2019/11/18/ashley-harwood/ - 0 errors
 > https://athletics.kcc.edu/news/2019/10/30/all-region-team/ - 0 errors
 > https://athletics.kcc.edu/news/2019/10/16/baseball-guest-speaker-steve-springer/ - 0 errors
 > https://athletics.kcc.edu/news/2019/05/23/softball-region-awards/ - 0 errors
 > https://athletics.kcc.edu/news/2019/05/23/rawlings-gold-glove-team/ - 0 errors
 > https://athletics.kcc.edu/news/2019/04/15/player-of-the-week/ - 0 errors
 > https://athletics.kcc.edu/news/2019/02/18/softball-season-preview/ - 0 errors
 > https://athletics.kcc.edu/news/2019/01/17/baseball-season-preview/ - 0 errors
 > https://athletics.kcc.edu/news/2018/11/06/all-tournament-team/ - 0 errors
 > https://athletics.kcc.edu/news/2018/09/26/national-wbca-day-of-service/ - 0 errors
 > https://athletics.kcc.edu/news/2018/09/07/former-kcc-softball-player/ - 0 errors
 > https://athletics.kcc.edu/news/2018/07/18/athletic-all-americans/ - 0 errors
 > https://athletics.kcc.edu/news/2018/07/18/team-academic-achievements/ - 0 errors
 > https://athletics.kcc.edu/news/2018/07/18/all-americans/ - 0 errors
 > https://athletics.kcc.edu/news/2018/06/26/butler-all-american/ - 0 errors
 > https://athletics.kcc.edu/news/2018/06/21/kcc-facebook/ - 0 errors
 > https://athletics.kcc.edu/news/2018/06/21/gold-glove-award-winner/ - 0 errors
 > https://athletics.kcc.edu/news/2018/06/12/congrats-kiara/ - 0 errors
 > https://athletics.kcc.edu/news/2018/06/06/baseball-where-are-they-now/ - 0 errors
 > https://athletics.kcc.edu/news/2018/05/23/congrats-jasmine/ - 0 errors
 > https://athletics.kcc.edu/news/2018/05/23/baseball/ - 0 errors
 > https://athletics.kcc.edu/news/2018/05/21/new-website/ - 0 errors
 > https://athletics.kcc.edu/news/2018/05/21/rebuilding-a-legacy/ - 0 errors
 > https://athletics.kcc.edu/news/2018/05/21/baseball-comes-to-a-close/ - 0 errors
 > https://athletics.kcc.edu/news/2018/05/21/soccer-pride/ - 0 errors
 > https://athletics.kcc.edu/news/2018/05/14/volleyball-honor-roll-list/ - 0 errors
 > https://athletics.kcc.edu/news/2018/05/06/congratulations-softball/ - 0 errors
 > https://athletics.kcc.edu/news/2018/04/30/womens-basketball-supports-local-fundraiser/ - 0 errors
 > https://athletics.kcc.edu/news/2017/06/07/cavs-win/ - 0 errors

Errors in https://athletics.kcc.edu/:

 • This button element does not have a name available to an accessibility API.
   Valid names are: title undefined, element content, aria-label undefined,
   aria-labelledby undefined.

   (#yt_list > div > div > div:nth-child(1) > button)

   <button class="yt-list__a jsYtBtn btn btn-link d-flex mx-auto"
   data-videoid="NJ0yUk3ieZQ" data-video-title="KCC Women's Basketball vs.
   MATC" data-bs-toggle="modal" data-bs-target="#videoModal" tabindex="0"> <img
   class="img-fluid" src...</button>

 • This button element does not have a name available to an accessibility API.
   Valid names are: title undefined, element content, aria-label undefined,
   aria-labelledby undefined.

   (#yt_list > div > div > div:nth-child(2) > button)

   <button class="yt-list__a jsYtBtn btn btn-link d-flex mx-auto"
   data-videoid="qxjr0upwizE" data-video-title="KCC Women's Basketball vs.
   Prairie State" data-bs-toggle="modal" data-bs-target="#videoModal"
   tabindex="0"> <img class="img-fluid" src...<...

 • This button element does not have a name available to an accessibility API.
   Valid names are: title undefined, element content, aria-label undefined,
   aria-labelledby undefined.

   (#yt_list > div > div > div:nth-child(3) > button)

   <button class="yt-list__a jsYtBtn btn btn-link d-flex mx-auto"
   data-videoid="ZnKF1SEAYI4" data-video-title="KCC Women's Basketball vs.
   Muskegon Community College" data-bs-toggle="modal"
   data-bs-target="#videoModal" tabindex="0"> <img class="img-f...

✘ 154/155 URLs passed
